title,body,sentiment,source
Former aide to Xavier Becerra pleads guilty to stealing funds from dormant California campaign account,"Sean McCluskie, a former longtime political aide to Xavier Becerra, pleaded guilty to charges in connection with stealing funds from Becerra's dormant California campaign account on Thursday. McCluskie is one of four co-conspirators listed in a federal indictment that accused Gov. Gavin Newsom's former chief of staff, Dana Williamson, of 23 fraud-related charges. He pleaded guilty to one count of conspiracy to commit bank fraud and wire fraud and one count of conspiracy to defraud the United States.",-0.207843137254902,CBS News
DOJ sues Newsom over California measure giving illegal immigrants college tuition benefits,"Justice Department lawyers called it 'unequal treatment' that was 'squarely at odds' with federal law

NEWYou can now listen to Fox News articles! FIRST ON FOX: The sued Gov. Gavin Newsom over a California measure that gives illegal immigrants access to in-state tuition benefits, marking the third lawsuit in one week that the department has brought against the high-profile Democratic governor. The lawsuit, brought in the Eastern District of California, alleged that California's education code caused out-of-state U.S.",-0.02745098039215688,Fox News
Editorial: Newsom sets a fiscal time bomb for whoever succeeds him,"On Wednesday, the state's nonpartisan Legislative Analyst's Office published its fiscal outlook for the 2026-2027 fiscal year -- and it's not pretty. ""Under our revenue and spending estimates, the Legislature faces an almost $18 billion budget problem in 2026-27,"" the LAO reports. ""This is about $5 billion larger than the budget problem anticipated by the administration in June, despite improvements in revenue.""

New revenues, they explain, are almost entirely consumed by mandated spending obligations like Proposition 98, which requires minimum funding levels for the state's education system. In addition, perennial problems like rising pension costs and health benefits for government retirees continue to erode finite resources.",-0.09019607843137256,Daily News
What California's Record Shows About Newsom's Claims to Climate Leadership,"The COP30 climate summit is entering its endgame in Brazil. But the US will have no influence over any international agreement as President Donald Trump's administration declined to participate. In that vacuum, California Governor Gavin Newsom eagerly seized the mantle of US leadership, boasting about his state's strides in decarbonizing its economy and slashing greenhouse gas emissions.",0.1215686274509804,Bloomberg Business
FBI warns California Capitol officials their calls may have been recorded in corruption probe,"An FBI alert was sent out to California State Capitol policymakers and lobbyists, notifying them that the agency may have recorded their phone conversations as part of a political corruption probe. Gov. Gavin Newsom's former chief of staff, Dana Williamson, faces nearly two-dozen fraud-related charges, alleging that she and multiple co-conspirators took money from former state Attorney General Xavier Becerra's dormant California campaign account. CBS News Sacramento obtained a copy of one of the letters that the FBI sent out, which tells recipients that even if they were not a target of this investigation, some of their phone conversations have been recorded.",0.03529411764705892,CBS News
California projected to face $18B deficit as Newsom heads into his last year as governor,"California is projected to face a $18 billion deficit next year, setting up a challenge for Gov. Gavin Newsom to safeguard some of the progressive policies that have defined his tenure as he considers a presidential run. The nonpartisan Legislative Analyst's Office projected the shortfall in a report released Wednesday. It would mark the state's fourth deficit in a row, including last year's $12 billion shortfall.",0.0117647058823529,CBS News
Steyer's in. Climate's still out.,"With help from Anne C. Mulkern

THE CLIMATE OF THE RACE: Newly minted gubernatorial candidate Tom Steyer and his pet issue of climate change face the same challenge: connecting with voters. The hedge-funder turned climate advocate, investor and erstwhile presidential candidate entered the race to succeed Gov. Gavin Newsom on Wednesday via a two-minute campaign video in which he pledged to tackle the state's high cost of living by building record numbers of affordable homes and breaking up monopolistic electric utility companies.",-0.02745098039215688,POLITICO
Tom Steyer is running for California governor as a populist billionaire,"Billionaire businessman and activist Tom Steyer, who once self-financed an unsuccessful White House campaign and spent his own money advocating for President Donald Trump's impeachment, has launched his bid for California governor as a Democrat. The 68-year-old's tremendous wealth immediately makes him a notable contender in a free-for-all that includes more than a half-dozen Democrats and two Republicans competing in an all-party June primary, with the top two vote-getters advancing to a November general election to succeed term-limited Gov. Gavin Newsom. Steyer announced his candidacy with a pledge to improve economic conditions and by framing his political record as friendly to consumers, working-class voters and the environment.",0.2470588235294118,Newsday
California facing projected $18B deficit as Newsom heads into his last year as governor,"SACRAMENTO, Calif. -- California will face a projected $18 billion deficit next year, setting up a challenge for Gov. Gavin Newsom to safeguard some of the progressive policies that have defined his tenure as he considers a presidential run. The nonpartisan Legislative Analyst's Office projected the shortfall in a report released Wednesday.",-0.04313725490196074,Newsday
Jerry's jeremiad: A wild dissent roils Texas redistricting debate,"Smith, on the losing end of that 2-1 ruling, attacked the plaintiffs as tools of left-wing donors George and Alex Soros, who featured at least 17 times in the ruling. (""George and Alex Soros have their hands all over this."") Smith swiped at Democratic California Gov. Gavin Newsom (""The main winners from Judge Brown's opinion are George Soros and Gavin Newsom."") And Smith went after the plaintiffs' lawyers and advocates in intensely personal ways. ""That tells you all that you need to know -- this is about partisan politics, plain and simple,"" Smith wrote.",0.1137254901960785,POLITICO
